,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education ",Enrichment & Supplementary Courses ,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1961 Jan,24.542,21.762,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.08,na,na,na,na,na,na,na,na,na,26.553,na,na,na,na,na,na,31.896,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.841,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Feb,24.565,21.777,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.08,na,na,na,na,na,na,na,na,na,26.669,na,na,na,na,na,na,31.853,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.845,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Mar,24.585,21.82,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.123,na,na,na,na,na,na,na,na,na,26.553,na,na,na,na,na,na,32.214,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Apr,24.187,21.172,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.108,na,na,na,na,na,na,na,na,na,26.65,na,na,na,na,na,na,32.507,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 May,24.053,20.967,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.843,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.338,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Jun,24.223,21.242,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.652,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.307,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Jul,24.276,21.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.847,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.038,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Aug,24.517,21.699,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.847,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.038,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Sep,24.393,21.506,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.789,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.033,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Oct,24.463,21.614,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.789,na,na,na,na,na,na,na,na,na,26.728,na,na,na,na,na,na,32.033,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Nov,24.521,21.703,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.664,na,na,na,na,na,na,na,na,na,26.769,na,na,na,na,na,na,32.033,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 Dec,24.487,21.678,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.347,na,na,na,na,na,na,na,na,na,26.694,na,na,na,na,na,na,32.026,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Jan,24.642,21.866,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.08,na,na,na,na,na,na,na,na,na,26.769,na,na,na,na,na,na,32.154,na,na,na,na,na,na,na,na,na,18.701,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Feb,24.78,22.101,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.704,na,na,na,na,na,na,na,na,na,26.752,na,na,na,na,na,na,32.17,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Mar,24.425,21.565,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.589,na,na,na,na,na,na,na,na,na,26.694,na,na,na,na,na,na,32.14,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Apr,24.303,21.373,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.704,na,na,na,na,na,na,na,na,na,26.694,na,na,na,na,na,na,32.13,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 May,24.327,21.368,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.704,na,na,na,na,na,na,na,na,na,26.918,na,na,na,na,na,na,32.115,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Jun,24.442,21.547,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.704,na,na,na,na,na,na,na,na,na,26.918,na,na,na,na,na,na,32.115,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Jul,24.499,21.639,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.632,na,na,na,na,na,na,na,na,na,26.918,na,na,na,na,na,na,32.14,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.823,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Aug,24.424,21.523,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.614,na,na,na,na,na,na,na,na,na,26.901,na,na,na,na,na,na,32.176,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.823,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Sep,24.523,21.69,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.351,na,na,na,na,na,na,na,na,na,26.901,na,na,na,na,na,na,32.164,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Oct,24.469,21.606,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.351,na,na,na,na,na,na,na,na,na,26.901,na,na,na,na,na,na,32.164,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Nov,24.627,21.85,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.351,na,na,na,na,na,na,na,na,na,26.911,na,na,na,na,na,na,32.176,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 Dec,24.696,21.96,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.291,na,na,na,na,na,na,na,na,na,26.911,na,na,na,na,na,na,32.203,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Jan,25.17,22.703,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.307,na,na,na,na,na,na,na,na,na,26.832,na,na,na,na,na,na,31.464,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Feb,25.354,22.985,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.422,na,na,na,na,na,na,na,na,na,26.832,na,na,na,na,na,na,31.477,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Mar,24.879,22.252,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.236,na,na,na,na,na,na,na,na,na,26.832,na,na,na,na,na,na,31.477,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Apr,24.63,21.857,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.236,na,na,na,na,na,na,na,na,na,26.868,na,na,na,na,na,na,31.471,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 May,24.756,22.05,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.307,na,na,na,na,na,na,na,na,na,26.865,na,na,na,na,na,na,31.477,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Jun,24.832,22.169,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.307,na,na,na,na,na,na,na,na,na,26.865,na,na,na,na,na,na,31.477,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.544,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Jul,24.764,22.06,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.307,na,na,na,na,na,na,na,na,na,26.865,na,na,na,na,na,na,31.526,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.544,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Aug,24.825,22.148,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.493,na,na,na,na,na,na,na,na,na,26.865,na,na,na,na,na,na,31.526,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.544,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.823,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Sep,24.934,22.306,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.688,na,na,na,na,na,na,na,na,na,26.882,na,na,na,na,na,na,31.537,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.544,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.825,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Oct,25.525,23.218,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.493,na,na,na,na,na,na,na,na,na,26.971,na,na,na,na,na,na,31.537,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.544,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.826,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Nov,25.34,22.906,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.493,na,na,na,na,na,na,na,na,na,27.104,na,na,na,na,na,na,31.508,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.528,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.826,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 Dec,25.386,22.963,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.688,na,na,na,na,na,na,na,na,na,27.104,na,na,na,na,na,na,31.495,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.826,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964 Jan,25.541,23.231,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.729,na,na,na,na,na,na,na,na,na,27.104,na,na,na,na,na,na,31.465,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.578,na,na,na,na,na,na,18.643,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
